frame_idx,sdk_left_det,our_left_blob,sdk_right_det,our_right_blob,sdk_fid_count,our_fid_count,fid_diff,sdk_marker_count,our_marker_count,detect_us,matchTri_us,marker_us,total_pipeline_us,anomaly,anomaly_reason
0,13,13,13,13,13,13,0,1,1,4019984.800000,96.600000,313.400000,4020585.700000,0,""
1,13,13,13,13,13,13,0,1,1,3793552.100000,90.700000,259.200000,3794077.300000,0,""
2,13,13,13,13,13,13,0,1,1,3660902.500000,89.400000,258.100000,3661407.500000,0,""
3,13,13,13,13,13,13,0,1,1,3546496.900000,89.600000,261.100000,3547003.700000,0,""
4,8,8,7,10,7,8,-1,0,0,3477833.500000,68.900000,60.300000,3478102.700000,0,""
5,9,9,11,11,10,10,0,0,0,3499151.500000,90.100000,108.400000,3499497.500000,0,""
6,9,9,8,9,8,8,0,0,0,3506504.600000,65.300000,60.400000,3506748.500000,0,""
7,8,8,10,10,7,7,0,0,0,3534672.000000,59.800000,45.000000,3534925.200000,0,""
8,9,9,12,12,9,9,0,0,0,3544123.000000,70.500000,81.700000,3544408.900000,0,""
9,10,10,10,10,10,10,0,1,1,3530149.600000,71.900000,130.300000,3530499.700000,0,""
