frame_idx,detect_left_us,detect_right_us,detect_total_us,matchTri_us,marker_us,total_pipeline_us
0,2231108.400,1788876.400,4019984.800,96.600,313.400,4020585.700
1,1839002.500,1954549.600,3793552.100,90.700,259.200,3794077.300
2,1840673.500,1820229.000,3660902.500,89.400,258.100,3661407.500
3,1747009.700,1799487.200,3546496.900,89.600,261.100,3547003.700
4,1725573.700,1752259.800,3477833.500,68.900,60.300,3478102.700
5,1774651.400,1724500.100,3499151.500,90.100,108.400,3499497.500
6,1776971.600,1729533.000,3506504.600,65.300,60.400,3506748.500
7,1777488.900,1757183.100,3534672.000,59.800,45.000,3534925.200
8,1732116.700,1812006.300,3544123.000,70.500,81.700,3544408.900
9,1745423.100,1784726.500,3530149.600,71.900,130.300,3530499.700
